# x	y_0	y_1	y_2	y_3	y_4	y_5	y_6	y_7
1.186000	1.112178	-0.000319	0.154748	-0.000140	8.997656	-0.004615	0.469404	0.000070
1.187000	1.112178	-0.000321	0.154748	-0.000141	8.997651	-0.004610	0.469404	0.000070
1.188000	1.112178	-0.000322	0.154748	-0.000142	8.997647	-0.004605	0.469404	0.000070
1.189000	1.112177	-0.000324	0.154748	-0.000143	8.997642	-0.004600	0.469405	0.000070
1.190000	1.112177	-0.000325	0.154748	-0.000144	8.997638	-0.004595	0.469405	0.000070
1.191000	1.112177	-0.000327	0.154748	-0.000145	8.997633	-0.004591	0.469405	0.000070
1.192000	1.112176	-0.000328	0.154748	-0.000146	8.997628	-0.004586	0.469405	0.000070
1.193000	1.112176	-0.000330	0.154747	-0.000147	8.997624	-0.004582	0.469405	0.000070
1.194000	1.112176	-0.000331	0.154747	-0.000148	8.997619	-0.004578	0.469405	0.000070
1.195000	1.112175	-0.000333	0.154747	-0.000149	8.997615	-0.004574	0.469405	0.000070
1.196000	1.112175	-0.000335	0.154747	-0.000149	8.997610	-0.004570	0.469405	0.000070
1.197000	1.112175	-0.000337	0.154747	-0.000150	8.997606	-0.004566	0.469405	0.000070
1.198000	1.112174	-0.000339	0.154747	-0.000151	8.997601	-0.004562	0.469405	0.000070
1.199000	1.112174	-0.000341	0.154746	-0.000152	8.997596	-0.004559	0.469405	0.000070
1.200000	1.112174	-0.000343	0.154746	-0.000153	8.997592	-0.004556	0.469405	0.000070
1.201000	1.112173	-0.000345	0.154746	-0.000154	8.997587	-0.004552	0.469405	0.000070
1.202000	1.112173	-0.000347	0.154746	-0.000155	8.997583	-0.004549	0.469405	0.000070
1.203000	1.112173	-0.000349	0.154746	-0.000155	8.997578	-0.004546	0.469406	0.000070
1.204000	1.112172	-0.000351	0.154746	-0.000156	8.997574	-0.004543	0.469406	0.000070
1.205000	1.112172	-0.000353	0.154746	-0.000157	8.997569	-0.004541	0.469406	0.000070
1.206000	1.112172	-0.000356	0.154745	-0.000158	8.997565	-0.004538	0.469406	0.000070
1.207000	1.112171	-0.000358	0.154745	-0.000158	8.997560	-0.004536	0.469406	0.000070
1.208000	1.112171	-0.000360	0.154745	-0.000159	8.997556	-0.004533	0.469406	0.000070
1.209000	1.112171	-0.000363	0.154745	-0.000160	8.997551	-0.004531	0.469406	0.000070
1.210000	1.112170	-0.000365	0.154745	-0.000160	8.997547	-0.004529	0.469406	0.000070
1.211000	1.112170	-0.000368	0.154745	-0.000161	8.997542	-0.004527	0.469406	0.000070
1.212000	1.112169	-0.000370	0.154744	-0.000162	8.997537	-0.004526	0.469406	0.000070
1.213000	1.112169	-0.000373	0.154744	-0.000162	8.997533	-0.004524	0.469406	0.000070
1.214000	1.112169	-0.000376	0.154744	-0.000163	8.997528	-0.004523	0.469406	0.000071
1.215000	1.112168	-0.000378	0.154744	-0.000163	8.997524	-0.004521	0.469406	0.000071
1.216000	1.112168	-0.000381	0.154744	-0.000164	8.997519	-0.004520	0.469406	0.000071
1.217000	1.112168	-0.000384	0.154744	-0.000164	8.997515	-0.004519	0.469406	0.000071
1.218000	1.112167	-0.000387	0.154743	-0.000165	8.997510	-0.004518	0.469407	0.000071
1.219000	1.112167	-0.000390	0.154743	-0.000166	8.997506	-0.004517	0.469407	0.000071
1.220000	1.112166	-0.000392	0.154743	-0.000166	8.997501	-0.004517	0.469407	0.000071
1.221000	1.112166	-0.000395	0.154743	-0.000167	8.997497	-0.004516	0.469407	0.000072
1.222000	1.112166	-0.000398	0.154743	-0.000167	8.997492	-0.004516	0.469407	0.000072
1.223000	1.112165	-0.000401	0.154743	-0.000167	8.997488	-0.004516	0.469407	0.000072
1.224000	1.112165	-0.000405	0.154742	-0.000168	8.997483	-0.004515	0.469407	0.000072
1.225000	1.112164	-0.000408	0.154742	-0.000168	8.997479	-0.004516	0.469407	0.000072
1.226000	1.112164	-0.000411	0.154742	-0.000169	8.997474	-0.004516	0.469407	0.000072
1.227000	1.112164	-0.000414	0.154742	-0.000169	8.997470	-0.004516	0.469407	0.000073
1.228000	1.112163	-0.000417	0.154742	-0.000170	8.997465	-0.004516	0.469407	0.000073
1.229000	1.112163	-0.000421	0.154742	-0.000170	8.997461	-0.004517	0.469407	0.000073
1.230000	1.112162	-0.000424	0.154741	-0.000170	8.997456	-0.004518	0.469407	0.000073
1.231000	1.112162	-0.000427	0.154741	-0.000171	8.997452	-0.004519	0.469408	0.000074
1.232000	1.112161	-0.000431	0.154741	-0.000171	8.997447	-0.004520	0.469408	0.000074
1.233000	1.112161	-0.000434	0.154741	-0.000171	8.997443	-0.004521	0.469408	0.000074
1.234000	1.112161	-0.000438	0.154741	-0.000172	8.997438	-0.004522	0.469408	0.000074
1.235000	1.112160	-0.000441	0.154741	-0.000172	8.997434	-0.004523	0.469408	0.000075
1.236000	1.112160	-0.000445	0.154740	-0.000172	8.997429	-0.004525	0.469408	0.000075
1.237000	1.112159	-0.000449	0.154740	-0.000172	8.997424	-0.004527	0.469408	0.000075
1.238000	1.112159	-0.000452	0.154740	-0.000173	8.997420	-0.004528	0.469408	0.000075
1.239000	1.112158	-0.000456	0.154740	-0.000173	8.997415	-0.004530	0.469408	0.000076
1.240000	1.112158	-0.000460	0.154740	-0.000173	8.997411	-0.004533	0.469408	0.000076
1.241000	1.112157	-0.000463	0.154740	-0.000173	8.997406	-0.004535	0.469408	0.000076
1.242000	1.112157	-0.000467	0.154739	-0.000173	8.997402	-0.004537	0.469408	0.000077
1.243000	1.112157	-0.000471	0.154739	-0.000174	8.997397	-0.004540	0.469408	0.000077
1.244000	1.112156	-0.000475	0.154739	-0.000174	8.997393	-0.004542	0.469408	0.000077
1.245000	1.112156	-0.000479	0.154739	-0.000174	8.997388	-0.004545	0.469409	0.000078
1.246000	1.112155	-0.000483	0.154739	-0.000174	8.997384	-0.004548	0.469409	0.000078
1.247000	1.112155	-0.000487	0.154739	-0.000174	8.997379	-0.004551	0.469409	0.000078
1.248000	1.112154	-0.000491	0.154738	-0.000174	8.997375	-0.004554	0.469409	0.000079
1.249000	1.112154	-0.000495	0.154738	-0.000174	8.997370	-0.004557	0.469409	0.000079
1.250000	1.112153	-0.000499	0.154738	-0.000175	8.997365	-0.004561	0.469409	0.000079
1.251000	1.112153	-0.000503	0.154738	-0.000175	8.997361	-0.004564	0.469409	0.000080
1.252000	1.112152	-0.000507	0.154738	-0.000175	8.997356	-0.004568	0.469409	0.000080
1.253000	1.112152	-0.000512	0.154737	-0.000175	8.997352	-0.004572	0.469409	0.000080
1.254000	1.112151	-0.000516	0.154737	-0.000175	8.997347	-0.004576	0.469409	0.000081
1.255000	1.112151	-0.000520	0.154737	-0.000175	8.997343	-0.004580	0.469409	0.000081
1.256000	1.112150	-0.000525	0.154737	-0.000175	8.997338	-0.004584	0.469409	0.000082
1.257000	1.112150	-0.000529	0.154737	-0.000175	8.997333	-0.004589	0.469410	0.000082
1.258000	1.112149	-0.000533	0.154737	-0.000175	8.997329	-0.004593	0.469410	0.000083
1.259000	1.112148	-0.000538	0.154736	-0.000175	8.997324	-0.004598	0.469410	0.000083
1.260000	1.112148	-0.000542	0.154736	-0.000175	8.997320	-0.004603	0.469410	0.000083
1.261000	1.112147	-0.000547	0.154736	-0.000175	8.997315	-0.004608	0.469410	0.000084
1.262000	1.112147	-0.000551	0.154736	-0.000175	8.997310	-0.004613	0.469410	0.000084
1.263000	1.112146	-0.000556	0.154736	-0.000175	8.997306	-0.004618	0.469410	0.000085
1.264000	1.112146	-0.000560	0.154736	-0.000174	8.997301	-0.004623	0.469410	0.000085
1.265000	1.112145	-0.000565	0.154735	-0.000174	8.997297	-0.004629	0.469410	0.000086
1.266000	1.112145	-0.000570	0.154735	-0.000174	8.997292	-0.004634	0.469410	0.000086
1.267000	1.112144	-0.000574	0.154735	-0.000174	8.997287	-0.004640	0.469410	0.000087
1.268000	1.112143	-0.000579	0.154735	-0.000174	8.997283	-0.004646	0.469410	0.000087
1.269000	1.112143	-0.000584	0.154735	-0.000174	8.997278	-0.004652	0.469411	0.000088
1.270000	1.112142	-0.000589	0.154734	-0.000174	8.997273	-0.004658	0.469411	0.000088
1.271000	1.112142	-0.000594	0.154734	-0.000174	8.997269	-0.004664	0.469411	0.000089
1.272000	1.112141	-0.000598	0.154734	-0.000173	8.997264	-0.004671	0.469411	0.000089
1.273000	1.112140	-0.000603	0.154734	-0.000173	8.997259	-0.004677	0.469411	0.000090
1.274000	1.112140	-0.000608	0.154734	-0.000173	8.997255	-0.004684	0.469411	0.000090
1.275000	1.112139	-0.000613	0.154734	-0.000173	8.997250	-0.004690	0.469411	0.000091
1.276000	1.112139	-0.000618	0.154733	-0.000173	8.997245	-0.004697	0.469411	0.000091
1.277000	1.112138	-0.000623	0.154733	-0.000172	8.997241	-0.004704	0.469411	0.000092
1.278000	1.112137	-0.000628	0.154733	-0.000172	8.997236	-0.004712	0.469411	0.000092
1.279000	1.112137	-0.000633	0.154733	-0.000172	8.997231	-0.004719	0.469411	0.000093
1.280000	1.112136	-0.000638	0.154733	-0.000172	8.997226	-0.004726	0.469412	0.000093
1.281000	1.112135	-0.000643	0.154733	-0.000171	8.997222	-0.004734	0.469412	0.000094
1.282000	1.112135	-0.000649	0.154732	-0.000171	8.997217	-0.004742	0.469412	0.000094
1.283000	1.112134	-0.000654	0.154732	-0.000171	8.997212	-0.004749	0.469412	0.000095
1.284000	1.112134	-0.000659	0.154732	-0.000171	8.997207	-0.004757	0.469412	0.000096
1.285000	1.112133	-0.000664	0.154732	-0.000170	8.997203	-0.004766	0.469412	0.000096
1.286000	1.112132	-0.000670	0.154732	-0.000170	8.997198	-0.004774	0.469412	0.000097
1.287000	1.112132	-0.000675	0.154732	-0.000170	8.997193	-0.004782	0.469412	0.000097
1.288000	1.112131	-0.000680	0.154731	-0.000169	8.997188	-0.004791	0.469412	0.000098
1.289000	1.112130	-0.000686	0.154731	-0.000169	8.997184	-0.004799	0.469412	0.000098
